Time_min,T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche,Is_Cleaning
0,4.49,4755.3,80.04,5,0.494,404.12,72.69,0
5,3.77,5127.62,81.24,10,0.515,449.92,72.58,0
10,4.34,4560.04,79.54,15,0.442,402.91,72.54,0
15,4.34,5360.64,81.93,20,0.598,482.67,72.55,0
20,3.92,5212.14,81.54,25,0.566,458.09,72.57,0
25,4.0,4553.08,79.6,30,0.459,400.38,72.56,0
30,3.78,5020.32,81.0,35,0.583,442.97,72.63,0
35,4.09,4859.1,80.5,40,0.505,429.68,72.64,0
40,4.28,5114.23,81.26,45,0.59,449.75,72.59,0
45,4.15,4969.77,80.85,50,0.579,428.8,72.53,0
50,3.85,5064.01,81.19,55,0.517,444.09,72.64,0
55,4.07,5304.8,81.94,60,0.618,478.18,72.61,0
60,4.04,4731.74,80.21,65,0.513,422.25,72.61,0
65,3.89,4744.51,80.29,70,0.487,418.43,72.57,0
70,4.21,4821.15,80.49,75,0.524,417.33,72.61,0
75,4.23,4618.52,79.92,80,0.444,407.15,72.64,0
80,3.75,5140.22,81.55,85,0.553,458.38,72.62,0
85,4.0,4689.94,80.18,90,0.452,419.13,72.68,0
90,4.11,4520.29,79.41,95,0.444,390.32,72.36,0
95,4.24,4750.59,80.37,100,0.521,416.89,72.59,0
100,3.98,5347.55,82.26,105,0.645,484.08,72.63,0
105,4.08,5273.02,82.02,110,0.647,481.94,72.62,0
110,3.98,4945.42,81.03,115,0.53,432.18,72.55,0
115,4.08,4881.34,80.84,120,0.559,429.76,72.71,0
120,3.44,4741.23,80.51,125,0.506,420.8,72.59,0
125,4.41,4885.08,80.85,130,0.518,428.61,72.63,0
130,4.4,4955.82,81.08,135,0.566,434.49,72.6,0
135,4.36,5147.8,81.69,140,0.621,441.41,72.63,0
140,4.14,5324.38,82.31,145,0.668,476.06,72.7,0
145,3.61,4295.72,79.54,150,0.403,391.33,72.58,0
150,3.61,5445.75,82.82,155,0.703,505.48,72.58,0
155,4.43,5051.64,81.45,160,0.623,441.5,72.54,0
160,4.75,4781.69,80.61,165,0.528,417.54,72.61,0
165,4.21,4951.81,81.21,170,0.559,425.52,72.64,0
170,3.86,4875.61,81.03,175,0.539,432.91,72.63,0
175,3.88,4477.71,79.9,180,0.415,405.28,72.62,0
180,3.7,5234.26,82.22,185,0.647,459.68,72.64,0
185,3.9,5053.62,81.63,190,0.608,445.83,72.56,0
190,4.26,5303.52,82.4,195,0.648,467.44,72.66,0
195,3.94,4687.24,80.54,200,0.54,413.39,72.61,0
200,4.02,5070.88,81.73,205,0.608,444.88,72.62,0
205,3.81,4966.2,81.44,210,0.605,432.79,72.63,0
210,4.64,4411.54,79.82,215,0.461,393.97,72.6,0
215,3.81,5248.72,82.38,220,0.668,475.86,72.57,0
220,4.93,5329.83,82.51,225,0.67,470.05,72.59,0
225,3.78,5113.07,81.98,230,0.651,446.76,72.66,0
230,3.95,5462.12,83.13,235,0.703,502.15,72.67,0
235,3.83,4185.12,79.6,240,0.383,368.92,72.66,0
240,3.88,5129.41,82.08,245,0.638,450.13,72.62,0
245,3.67,5404.05,83.03,250,0.73,491.58,72.57,0
250,4.07,4923.91,81.43,255,0.583,437.11,72.5,0
255,4.12,4905.43,81.38,260,0.536,433.41,72.62,0
260,4.03,4812.53,81.13,265,0.607,426.04,72.71,0
265,3.78,4297.63,79.77,270,0.457,372.55,72.47,0
270,4.21,4926.33,81.49,275,0.583,429.11,72.53,0
275,4.55,4809.85,81.11,280,0.591,410.5,72.65,0
280,4.01,4477.39,80.22,285,0.525,392.75,72.6,0
285,3.38,4667.93,80.85,290,0.539,424.96,72.69,0
290,4.0,4034.6,79.5,295,0.431,358.88,72.5,0
295,3.95,4850.08,81.38,300,0.593,424.44,72.62,0
300,4.03,4828.34,81.32,305,0.605,424.03,72.66,0
305,4.01,5186.66,82.49,310,0.717,460.01,72.52,0
310,3.67,4867.49,81.53,315,0.621,428.07,72.67,0
315,3.86,5447.25,83.43,320,0.777,496.32,72.56,0
320,4.24,4749.86,81.12,325,0.556,421.86,72.63,0
