T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche
4.49,4755.3,80.04,5.0,0.494,404.12,72.69
3.77,5127.62,81.24,10.0,0.515,449.92,72.58
4.34,4560.04,79.54,15.0,0.442,402.91,72.54
4.34,5360.64,81.93,20.0,0.598,482.67,72.55
3.92,5212.14,81.54,25.0,0.566,458.09,72.57
4.0,4553.08,79.6,30.0,0.459,400.38,72.56
3.78,5020.32,81.0,35.0,0.583,442.97,72.63
4.09,4859.1,80.5,40.0,0.505,429.68,72.64
4.28,5114.23,81.26,45.0,0.59,449.75,72.59
4.15,4969.77,80.85,50.0,0.579,428.8,72.53
3.85,5064.01,81.19,55.0,0.517,444.09,72.64
4.07,5304.8,81.94,60.0,0.618,478.18,72.61
4.04,4731.74,80.21,65.0,0.513,422.25,72.61
3.89,4744.51,80.29,70.0,0.487,418.43,72.57
4.21,4821.15,80.49,75.0,0.524,417.33,72.61
4.23,4618.52,79.92,80.0,0.444,407.15,72.64
3.75,5140.22,81.55,85.0,0.553,458.38,72.62
4.0,4689.94,80.18,90.0,0.452,419.13,72.68
4.11,4520.29,79.41,95.0,0.444,390.32,72.36
4.24,4750.59,80.37,100.0,0.521,416.89,72.59
3.98,5347.55,82.26,105.0,0.645,484.08,72.63
4.08,5273.02,82.02,110.0,0.647,481.94,72.62
3.98,4945.42,81.03,115.0,0.53,432.18,72.55
4.08,4881.34,80.84,120.0,0.559,429.76,72.71
3.44,4741.23,80.51,125.0,0.506,420.8,72.59
4.41,4885.08,80.85,130.0,0.518,428.61,72.63
4.4,4955.82,81.08,135.0,0.566,434.49,72.6
4.36,5147.8,81.69,140.0,0.621,441.41,72.63
4.14,5324.38,82.31,145.0,0.668,476.06,72.7
3.61,4295.72,79.54,150.0,0.403,391.33,72.58
3.61,5445.75,82.82,155.0,0.703,505.48,72.58
4.43,5051.64,81.45,160.0,0.623,441.5,72.54
4.75,4781.69,80.61,165.0,0.528,417.54,72.61
4.21,4951.81,81.21,170.0,0.559,425.52,72.64
3.86,4875.61,81.03,175.0,0.539,432.91,72.63
3.88,4477.71,79.9,180.0,0.415,405.28,72.62
3.7,5234.26,82.22,185.0,0.647,459.68,72.64
3.9,5053.62,81.63,190.0,0.608,445.83,72.56
4.26,5303.52,82.4,195.0,0.648,467.44,72.66
3.94,4687.24,80.54,200.0,0.54,413.39,72.61
4.02,5070.88,81.73,205.0,0.608,444.88,72.62
3.81,4966.2,81.44,210.0,0.605,432.79,72.63
4.64,4411.54,79.82,215.0,0.461,393.97,72.6
3.81,5248.72,82.38,220.0,0.668,475.86,72.57
4.93,5329.83,82.51,225.0,0.67,470.05,72.59
3.78,5113.07,81.98,230.0,0.651,446.76,72.66
3.95,5462.12,83.13,235.0,0.703,502.15,72.67
3.83,4185.12,79.6,240.0,0.383,368.92,72.66
3.88,5129.41,82.08,245.0,0.638,450.13,72.62
3.67,5404.05,83.03,250.0,0.73,491.58,72.57
4.07,4923.91,81.43,255.0,0.583,437.11,72.5
4.12,4905.43,81.38,260.0,0.536,433.41,72.62
4.03,4812.53,81.13,265.0,0.607,426.04,72.71
3.78,4297.63,79.77,270.0,0.457,372.55,72.47
4.21,4926.33,81.49,275.0,0.583,429.11,72.53
4.55,4809.85,81.11,280.0,0.591,410.5,72.65
4.01,4477.39,80.22,285.0,0.525,392.75,72.6
3.38,4667.93,80.85,290.0,0.539,424.96,72.69
4.0,4034.6,79.5,295.0,0.431,358.88,72.5
3.95,4850.08,81.38,300.0,0.593,424.44,72.62
4.03,4828.34,81.32,305.0,0.605,424.03,72.66
4.01,5186.66,82.49,310.0,0.717,460.01,72.52
3.67,4867.49,81.53,315.0,0.621,428.07,72.67
3.86,5447.25,83.43,320.0,0.777,496.32,72.56
4.24,4749.86,81.12,325.0,0.556,421.86,72.63
4.0,4956.64,81.82,330.0,0.646,433.04,72.64
3.99,4920.4,81.72,335.0,0.612,422.83,72.53
4.16,4722.03,81.1,340.0,0.558,418.12,72.67
4.2,5479.13,83.59,345.0,0.756,503.14,72.63
3.9,5180.78,82.64,350.0,0.705,446.32,72.54
4.02,4312.24,80.16,355.0,0.477,379.5,72.61
3.86,5035.87,82.2,360.0,0.694,444.21,72.61
3.68,5277.35,83.05,365.0,0.738,475.29,72.66
4.46,4784.13,81.35,370.0,0.618,421.81,72.67
3.85,5254.63,82.99,375.0,0.708,468.36,72.62
3.94,4843.27,81.64,380.0,0.581,428.14,72.58
3.81,4373.7,80.38,385.0,0.471,385.74,72.65
4.42,4538.01,80.67,390.0,0.565,390.32,72.59
4.34,4911.03,81.86,395.0,0.647,433.94,72.59
4.44,5219.25,82.87,400.0,0.737,460.6,72.53
4.05,4816.02,81.63,405.0,0.656,424.06,72.63
4.14,4940.6,82.04,410.0,0.668,430.24,72.54
4.01,5464.58,83.85,415.0,0.785,503.36,72.47
3.85,4876.35,81.91,420.0,0.64,436.95,72.63
4.33,4813.54,81.66,425.0,0.635,416.75,72.57
3.59,4793.46,81.71,430.0,0.594,431.52,72.62
4.33,5314.09,83.35,435.0,0.747,482.02,72.55
4.28,4755.04,81.53,440.0,0.638,416.67,72.64
4.09,5319.23,83.44,445.0,0.741,472.97,72.64
4.02,4908.5,82.09,450.0,0.646,433.94,72.55
3.91,5393.98,83.77,455.0,0.813,486.55,72.64
3.46,4553.16,81.06,460.0,0.598,408.9,72.68
4.4,4886.85,82.02,465.0,0.658,426.51,72.53
4.0,3883.6,79.58,470.0,0.43,341.47,72.45
4.44,4580.37,81.08,475.0,0.583,403.23,72.64
3.76,5127.86,82.97,480.0,0.733,453.96,72.62
3.74,4521.66,81.49,485.0,0.541,404.77,73.05
4.26,5056.16,82.7,490.0,0.704,443.1,72.59
4.0,5407.42,83.97,495.0,0.809,489.4,72.66
4.02,4808.97,81.95,500.0,0.675,421.15,72.53
3.86,4078.04,80.09,505.0,0.473,368.68,72.47
4.28,5124.9,83.0,510.0,0.759,445.62,72.6
3.66,5113.2,83.07,515.0,0.736,456.33,72.65
4.26,4759.91,81.83,520.0,0.651,413.97,72.47
3.67,5028.9,82.82,525.0,0.706,443.08,72.56
4.2,5001.6,82.67,530.0,0.743,438.21,72.66
3.91,5236.02,83.53,535.0,0.768,466.02,72.59
4.5,4540.52,81.16,540.0,0.602,388.07,72.62
4.11,4142.22,80.13,545.0,0.507,369.35,72.34
3.93,5202.15,81.25,5.0,0.554,452.0,72.57
4.3,4165.44,78.54,10.0,0.368,364.48,72.36
4.37,4718.83,79.83,15.0,0.488,409.16,72.53
3.99,4963.03,80.59,20.0,0.561,428.79,72.68
3.87,4575.28,79.52,25.0,0.494,397.4,72.66
3.97,4869.58,80.35,30.0,0.525,419.47,72.57
3.72,4969.33,80.69,35.0,0.53,426.91,72.61
4.21,4985.27,80.69,40.0,0.554,426.08,72.61
4.16,5290.21,81.64,45.0,0.617,456.69,72.63
4.73,4668.0,79.76,50.0,0.493,401.65,72.58
4.03,5414.82,82.08,55.0,0.658,486.46,72.63
3.94,4608.89,79.71,60.0,0.436,395.97,72.58
4.12,4895.81,80.53,65.0,0.546,412.83,72.68
4.47,5020.13,80.87,70.0,0.539,430.42,72.64
4.14,5420.53,82.16,75.0,0.632,483.06,72.58
4.56,5096.2,81.12,80.0,0.57,420.08,72.62
3.58,5231.39,81.67,85.0,0.616,451.11,72.58
4.11,5244.89,81.66,90.0,0.595,466.91,72.57
4.59,4818.99,80.35,95.0,0.497,414.07,72.64
4.26,4920.43,80.7,100.0,0.518,427.55,72.57
4.46,5240.98,81.66,105.0,0.61,450.05,72.63
3.9,5344.36,82.07,110.0,0.638,466.48,72.65
4.33,5370.2,82.11,115.0,0.646,480.21,72.69
4.09,4432.34,79.47,120.0,0.469,377.42,72.59
4.12,5174.0,81.57,125.0,0.599,451.26,72.62
4.18,5450.13,82.45,130.0,0.67,482.61,72.54
4.07,4920.18,80.83,135.0,0.535,424.27,72.6
3.8,4080.72,79.39,140.0,0.328,354.92,72.97
3.98,5232.13,81.84,145.0,0.628,455.2,72.59
4.11,5373.09,82.29,150.0,0.668,476.9,72.62
4.27,4953.42,80.98,155.0,0.574,424.38,72.59
3.32,5203.19,81.89,160.0,0.61,451.49,72.63
4.22,5259.17,81.96,165.0,0.665,466.64,72.59
4.22,4398.04,79.56,170.0,0.444,376.94,72.59
3.91,5271.72,82.08,175.0,0.69,459.65,72.57
4.17,4858.08,80.79,180.0,0.58,418.96,72.73
3.91,4918.92,81.02,185.0,0.581,426.97,72.61
3.59,4381.38,79.54,190.0,0.484,376.5,72.45
3.97,4209.71,79.35,195.0,0.452,366.6,72.68
4.18,5076.55,81.52,200.0,0.606,435.37,72.57
4.13,5005.78,81.32,205.0,0.579,420.23,72.62
4.52,4651.68,80.01,210.0,0.477,401.99,72.42
4.1,5115.45,81.7,215.0,0.618,438.76,72.6
4.14,4294.7,79.82,220.0,0.454,373.66,72.83
3.95,5038.45,81.52,225.0,0.619,433.64,72.7
3.67,4463.92,79.67,230.0,0.446,385.23,72.35
4.4,4751.5,80.63,235.0,0.543,407.94,72.62
3.36,5130.83,81.95,240.0,0.626,451.34,72.47
4.3,5110.44,81.77,245.0,0.631,440.23,72.59
3.52,4925.68,81.32,250.0,0.599,425.28,72.61
4.11,4895.52,81.17,255.0,0.585,423.97,72.59
3.69,5223.31,82.27,260.0,0.654,456.05,72.58
3.92,5272.39,82.41,265.0,0.696,461.08,72.6
4.4,5020.12,81.56,270.0,0.61,429.98,72.64
3.65,4585.08,80.36,275.0,0.547,398.03,72.7
3.63,4719.34,80.77,280.0,0.534,402.93,72.61
3.67,4903.28,81.34,285.0,0.601,426.34,72.63
4.06,5145.34,82.07,290.0,0.699,442.5,72.56
4.48,4937.26,81.38,295.0,0.626,417.31,72.57
4.25,5073.45,81.85,300.0,0.669,446.5,72.57
