maintenance_id,asset_id,start_time,end_time,duration_min,planned,fault_type,maintenance_type,corrective_action,severity_rf_at_start,notes,cycle_id,cycle_index
M000001,asset_00,2026-01-02 07:21:00+00:00,2026-01-02 08:07:00+00:00,46.0,1,preventive,scheduled_CIP,CIP_cycle,4.25699e-05,scheduled cleaning after asset_00_C00001,asset_00_C00001,1
M000002,asset_00,2026-01-03 13:55:00+00:00,2026-01-03 14:09:00+00:00,14.0,0,clogging,unclog,flush/unblock,0.001224302,synthetic unplanned intervention for asset_00_C00002,asset_00_C00002,2
M000003,asset_00,2026-01-03 14:09:00+00:00,2026-01-03 14:46:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,9.91593e-05,scheduled cleaning after asset_00_C00002,asset_00_C00002,2
M000004,asset_00,2026-01-04 08:33:00+00:00,2026-01-04 09:18:00+00:00,45.0,1,preventive,scheduled_CIP,CIP_cycle,4.38964e-05,scheduled cleaning after asset_00_C00003,asset_00_C00003,3
M000005,asset_00,2026-01-06 03:07:00+00:00,2026-01-06 03:45:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001023789,scheduled cleaning after asset_00_C00004,asset_00_C00004,4
M000006,asset_00,2026-01-07 16:25:00+00:00,2026-01-07 17:06:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,5.26741e-05,scheduled cleaning after asset_00_C00005,asset_00_C00005,5
M000007,asset_00,2026-01-08 17:35:00+00:00,2026-01-08 18:18:00+00:00,43.0,1,preventive,scheduled_CIP,CIP_cycle,4.01557e-05,scheduled cleaning after asset_00_C00006,asset_00_C00006,6
M000008,asset_00,2026-01-10 06:35:00+00:00,2026-01-10 07:28:00+00:00,53.0,1,preventive,scheduled_CIP,CIP_cycle,3.91426e-05,scheduled cleaning after asset_00_C00007,asset_00_C00007,7
M000009,asset_00,2026-01-12 07:50:00+00:00,2026-01-12 08:04:00+00:00,14.0,0,clogging,unclog,flush/unblock,0.0018734885,synthetic unplanned intervention for asset_00_C00008,asset_00_C00008,8
M000010,asset_00,2026-01-12 08:04:00+00:00,2026-01-12 08:48:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,4.29267e-05,scheduled cleaning after asset_00_C00008,asset_00_C00008,8
M000011,asset_00,2026-01-13 18:11:00+00:00,2026-01-13 18:51:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,8.585e-05,scheduled cleaning after asset_00_C00009,asset_00_C00009,9
M000012,asset_00,2026-01-15 13:30:00+00:00,2026-01-15 14:11:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,4.91264e-05,scheduled cleaning after asset_00_C00010,asset_00_C00010,10
M000013,asset_00,2026-01-16 12:36:00+00:00,2026-01-16 12:51:00+00:00,15.0,0,clogging,unclog,flush/unblock,0.0014301391,synthetic unplanned intervention for asset_00_C00011,asset_00_C00011,11
M000014,asset_00,2026-01-16 12:51:00+00:00,2026-01-16 13:26:00+00:00,35.0,1,preventive,scheduled_CIP,CIP_cycle,8.32918e-05,scheduled cleaning after asset_00_C00011,asset_00_C00011,11
